Movie_name,Movie_release_date,Ratings,Wikipedia_movie_ID,Movie_box_office_revenue,Nomination,diversity,actor_number
A Thousand Words,2012,5.9,33726624,20558836.0,False,1.9426950408889636,4
A Time for Killing,1967,5.4,27361586,,False,0.12022458674074694,3
A Time to Kill,1996,7.5,3600824,152266007.0,False,1.4782619058470117,3
A Touch of Class,1973,6.5,101907,16800000.0,True,0.9713475204444818,2
A Touch of the Sun,1979,2.7,28062825,,False,0.633947652638736,3
A Troll in Central Park,1994,5.3,3028394,71368.0,False,0.9713475204444818,2
A Very Brady Sequel,1996,5.9,3142340,21440752.0,False,0.633947652638736,3
A Very Long Engagement,2004,7.6,1205027,70115868.0,True,0.9713475204444818,2
A Very Private Affair,1962,5.6,8884368,,False,0.9713475204444818,2
A View to a Kill,1985,6.3,583932,152400000.0,False,0.9477572860018734,8
A Walk in the Clouds,1995,6.7,2122517,50008143.0,False,1.5385416516886434,5
A Walk on the Moon,1999,6.6,692682,4750660.0,False,0.9713475204444818,2
A Walk to Remember,2002,7.3,855797,47494916.0,False,1.9718967441318,6
A Warrior's Heart,2011,5.2,31063484,,False,0.4856737602222409,4
A Wednesday,2008,8.1,19076629,,False,0.12022458674074694,3
A Woman's Face,1938,7.0,22610953,,False,0.9713475204444818,2
A Woman's Secret,1949,6.0,11634528,,False,0.9713475204444818,2
A World Apart,1988,7.0,2546890,,False,1.4782619058470117,3
A.I. Artificial Intelligence,2001,7.2,142224,235926552.0,True,1.9718967441318,6
ABCD,2005,5.8,9667958,,False,0.18033688011112042,2
AC/DC: Let There Be Rock,1980,8.3,4911406,,False,0.18033688011112042,2
ATL,2006,6.2,4385123,21170563.0,False,0.9713475204444818,2
Aa Ab Laut Chalen,1999,5.4,9022669,,False,0.12022458674074694,3
Aadhavan,2009,5.5,21437273,,False,0.07213475204444818,5
Aadmi,1968,6.9,11374179,,False,0.633947652638736,3
Aadmi Aur Insaan,1969,6.2,10639796,,False,0.9713475204444818,2
Aadmi Sadak Ka,1977,5.3,10890876,,False,0.4620835257796325,4
Aag,1994,4.6,9003163,,False,0.9713475204444818,2
Aag Aur Shola,1986,4.3,15059457,,False,0.18033688011112042,2
Aag Se Khelenge,1989,5.0,15132754,,False,0.18033688011112042,2
Aagathan,2010,5.6,26160725,,False,0.12022458674074694,3
Aaina,1993,6.1,4026106,,False,0.18033688011112042,2
Aaina,1977,6.5,11142742,,False,0.633947652638736,3
Aaj Ka Arjun,1990,4.6,10726300,,False,0.4620835257796325,4
Aaja Nachle,2007,6.2,16258940,,False,0.12022458674074694,3
Aakhree Raasta,1986,7.0,5547391,,False,0.12022458674074694,3
Aakhri Adaalat,1988,5.0,35474512,,False,0.18033688011112042,2
Aakhri Badla,1989,5.6,33436094,,False,0.18033688011112042,2
Aakraman,1975,6.2,10621588,,False,0.12022458674074694,3
Aakrosh,1980,7.9,14630339,,True,0.18033688011112042,2
Aalavandhan,2001,7.2,7489472,,False,0.09016844005556021,4
Aan Milo Sajna,1970,6.5,10599593,,False,0.633947652638736,3
Aan: Men at Work,2004,5.8,8541076,,False,0.09016844005556021,4
Aanch,2003,5.6,9698112,,False,0.12022458674074694,3
Aankhen,2002,7.4,5998618,,True,0.07213475204444818,5
Aankhon Aankhon Mein,1972,6.6,10776142,,False,0.18033688011112042,2
Aap Ke Saath,1986,5.5,14810742,,False,0.09016844005556021,4
Aap Ki Kasam,1974,7.0,10616876,,False,0.36073181766652895,5
Aap Ki Khatir,2006,3.9,6214495,,False,0.36073181766652895,5
Aar Paar,1985,6.7,32098888,,False,0.12022458674074694,3
Aarakshan,2011,6.2,30462894,,False,0.09016844005556021,4
Aarti,1962,7.1,24473861,,False,0.18033688011112042,2
Aaru,2005,5.8,5350092,,False,0.09016844005556021,4
Aarzoo,1999,5.0,6717398,,False,0.09016844005556021,4
Aas Ka Panchhi,1961,6.7,12220243,,False,0.12022458674074694,3
Aas Paas,1981,6.2,15705596,,False,0.633947652638736,3
Aasai,1995,7.5,6809638,,False,0.18033688011112042,2
Aasai Mugam,1965,6.6,19286409,,False,0.9713475204444818,2
Aasha,1957,6.7,12113134,,True,0.18033688011112042,2
Aasha,1980,5.6,11217536,,True,0.12022458674074694,3
Aashiq,2001,4.0,14854661,,False,0.07213475204444818,5
Aashirwad,1968,7.6,10708743,,True,0.12022458674074694,3
Aasma: The Sky Is the Limit,2009,4.0,22914756,,False,0.9713475204444818,2
Aasmaan,1984,4.9,20323018,,False,0.18033688011112042,2
Aatank Hi Aatank,1995,4.5,5945009,,False,0.12022458674074694,3
Aathi,2006,4.4,3728120,,False,0.07213475204444818,5
Aatish,1979,4.6,14852620,,False,0.18033688011112042,2
Aavanazhi,1986,7.4,26810531,,False,0.18033688011112042,2
Aavida Maa Aavide,1998,6.2,25504132,,False,0.18033688011112042,2
Aaya Toofan,1999,5.3,29413896,,False,0.18033688011112042,2
Aayitha Ezhuthu,2004,7.9,2853352,,False,0.07213475204444818,5
Aayudham,2005,3.4,9668032,,False,0.12022458674074694,3
Ab Ke Baras,2002,3.5,10235844,,False,0.12022458674074694,3
Ab Tak Chhappan,2004,7.8,15908338,,False,0.18033688011112042,2
Ab Tumhare Hawale Watan Saathiyo,2004,4.5,8166078,,False,0.18033688011112042,2
Abandon,2002,4.8,4122339,102302219.0,False,1.092765960500042,4
Abandoned,1949,6.7,17828345,,False,0.9713475204444818,2
Abandoned,1949,7.0,17828345,,False,0.9713475204444818,2
Abbott and Costello Go to Mars,1953,5.9,7068258,1250000.0,False,1.4782619058470117,3
Abduction,2011,5.1,28027063,82087155.0,False,0.8775019826331378,5
Abduction,2011,5.9,28027063,82087155.0,False,0.8775019826331378,5
Aberdeen,2000,7.1,3584311,,False,0.18033688011112042,2
Abhimanyu,1948,8.2,25620496,,False,0.9713475204444818,2
Abhimanyu,1989,4.4,32430967,,False,0.9713475204444818,2
Abominable,2006,5.1,7305989,,False,0.9713475204444818,2
About Last Night,1986,6.3,936787,38702310.0,False,0.633947652638736,3
About Schmidt,2002,7.2,226664,105834556.0,True,0.12022458674074694,3
About a Boy,2002,7.1,4205606,130549455.0,True,1.092765960500042,4
Above Suspicion,1995,6.7,4681430,,False,0.633947652638736,3
Above the Law,1988,6.0,67411,18869631.0,False,0.9713475204444818,2
Abraham Lincoln: Vampire Hunter,2012,5.9,30928961,109436965.0,False,1.4782619058470117,3
"Abraxas, Guardian of the Universe",1990,2.9,3419072,,False,1.092765960500042,4
Absence of Malice,1981,6.9,164411,40716963.0,True,0.9713475204444818,2
Absolon,2003,4.2,19998694,,False,1.4782619058470117,3
Absolute Beginners,1986,5.6,2367984,,False,0.633947652638736,3
Absolute Power,1997,6.7,3123893,50068310.0,False,0.4620835257796325,4
"Abu, Son of Adam",2011,7.8,31824067,,False,0.12022458674074694,3
Accepted,2006,6.4,5444611,38505009.0,False,1.4782619058470117,3
According to Spencer,2001,4.5,1802864,,False,0.9713475204444818,2
Ace High,1968,6.5,2266430,,False,1.4782619058470117,3
Ace Ventura: Pet Detective,1994,6.9,336808,107217396.0,False,0.9713475204444818,2
Ace Ventura: When Nature Calls,1995,6.4,537416,212385533.0,False,0.9713475204444818,2
Aces: Iron Eagle III,1992,3.8,5239234,,False,1.4782619058470117,3
Achanak,1973,7.1,18545794,,False,0.18033688011112042,2
Achanak,1998,4.2,10938786,,False,0.633947652638736,3
Achuvinte Amma,2005,6.9,9107926,,False,0.18033688011112042,2
Acid Factory,2009,5.1,19661965,,False,0.633947652638736,3
Across 110th Street,1972,7.0,1235054,10000000.0,False,0.9713475204444818,2
Across the Universe,2007,7.3,4399897,29367143.0,True,0.633947652638736,3
Across the Wide Missouri,1951,6.2,3093681,2750000.0,False,0.9713475204444818,2
Act of Love,1953,6.5,28091651,,False,0.9713475204444818,2
Act of Valor,2012,6.4,33474657,80419713.0,False,0.18033688011112042,2
Action Jackson,1988,5.6,2069002,20256975.0,False,0.9713475204444818,2
Action Replayy,2010,4.3,22099425,,False,0.18033688011112042,2
Action in the North Atlantic,1943,7.0,11120431,,True,0.9713475204444818,2
Action of the Tiger,1957,5.1,4352911,,False,0.9713475204444818,2
Actresses,2007,5.6,24135578,,False,0.9713475204444818,2
Ada,1961,6.6,9143529,,False,0.18033688011112042,2
Adam,2009,7.1,22427855,2549605.0,True,1.4782619058470117,3
Adam,2009,7.5,22427855,2549605.0,True,1.4782619058470117,3
Adam & Steve,2005,5.8,4694464,330116.0,False,0.9713475204444818,2
